Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Maximum,Error %,Throughput,Recevied KB/sec,Sent KB/sec
https://www.demoblaze.com/index.html,1000,414,101,1318,1447,1821,79,2193,0.60%,9.910409895,2169.560958,24.72283371
https://www.demoblaze.com/config.json,1250,116,96,132,300,326,80,908,0.00%,12.57165845,2.623410471,5.610593665
https://api.demoblaze.com/entries,1000,435,390,590,665,957,303,1346,0.00%,10.05388884,28.77745026,3.495297293
https://hls.demoblaze.com/index.m3u8,1250,52,38,121,147,200,15,708,0.00%,12.62409485,5.750709159,5.052103584
https://hls.demoblaze.com/about_demo_hls_600k.m3u8,1250,34,33,53,62,85,14,118,0.00%,12.63328112,17.60023324,5.228500524
https://hls.demoblaze.com/about_demo_hls_600k00000.ts,1250,78,37,250,302,392,16,921,0.00%,12.6321321,1342.223091,5.265033185
Load Website URL,250,2398,2342,2831,3029,3317,1701,3400,2.40%,4.016644977,5686.949908,41.1118362
https://api.demoblaze.com/login,250,403,365,502,549,728,313,1371,0.00%,4.16375204,1.024803471,1.846038502
https://api.demoblaze.com/check,750,375,334,467,573,794,299,1324,0.00%,8.475917094,2.516464469,3.666827415
Enter credentials and click on Log in,250,1529,1447,1832,2026,2633,1218,2823,0.00%,4.044587533,18.22971437,14.50363811
https://api.demoblaze.com/bycat,250,403,355,527,659,932,306,1145,0.00%,4.163544009,3.11459114,1.723967441
Click on Monitors,250,403,355,527,659,932,306,1145,0.00%,4.163544009,3.11459114,1.723967441
https://www.demoblaze.com/prod.html?idp_=10,250,749,686,1022,1200,1564,416,2129,1.60%,4.1297058,152.4708352,29.45214226
https://api.demoblaze.com/view,250,387,343,500,577,963,296,1208,0.00%,4.224828472,2.582822481,1.720462376
Click on first result,250,1746,1670,2168,2395,2900,1181,3016,1.60%,3.35529936,130.0831475,32.39285952
https://api.demoblaze.com/addtocart,250,401,363,487,581,937,311,1180,0.00%,4.224828472,0.812850397,2.13716909
Click on Add to cart,250,401,363,487,581,937,311,1180,0.00%,4.224828472,0.812850397,2.13716909
Click on Home,250,1088,1042,1342,1422,1743,860,2553,0.00%,3.506114664,14.9407872,10.50464823
Click on Log out,250,713,639,943,1020,1412,529,1615,0.00%,3.750093752,14.86504936,9.613277441
TOTAL,10750,385,188,1121,1570,2445,14,3400,0.19%,106.0000986,7239.008884,147.685427
